n	Plant_Cultivar	Plant	Cultivar	LW	LA
69 	P3_19/08.	P3	19/08.	42.358	29.849
70 	P3_19/08.	P3	19/08.	54.079	41.517
71 	P3_19/08.	P3	19/08.	23.903	21.57
72 	P3_19/08.	P3	19/08.	71.691	55.995
73 	P3_19/08.	P3	19/08.	38.043	27.252
74 	P3_19/08.	P3	19/08.	14.312	11.57
75 	P3_19/08.	P3	19/08.	24.735	16.581
76 	P3_19/08.	P3	19/08.	17.078	13.448
77 	P3_19/08.	P3	19/08.	21.387	15.295
78 	P3_19/08.	P3	19/08.	25.759	19.017
79 	P3_19/08.	P3	19/08.	28.078	19.047
80 	P3_19/08.	P3	19/08.	62.96	46.408
81 	P3_19/08.	P3	19/08.	8.151	5.29
82 	P3_19/08.	P3	19/08.	50.377	31.972
83 	P3_19/08.	P3	19/08.	24.321	19.026
84 	P3_19/08.	P3	19/08.	23.327	16.219
85 	P3_19/08.	P3	19/08.	62.139	45.625
86 	P3_19/08.	P3	19/08.	25.107	17.268
87 	P3_19/08.	P3	19/08.	36.832	25.529
88 	P3_19/08.	P3	19/08.	18.602	15.261
89 	P3_19/08.	P3	19/08.	26.633	19.076
90 	P3_19/08.	P3	19/08.	8.463	6.377
91 	P3_19/08.	P3	19/08.	6.375	4.171
92 	P3_19/08.	P3	19/08.	10.304	7.484
93 	P3_19/08.	P3	19/08.	14.635	11.051
94 	P3_19/08.	P3	19/08.	4.565	2.985
95 	P3_19/08.	P3	19/08.	3.237	2.407
96 	P3_19/08.	P3	19/08.	22.22	16.697
97 	P3_19/08.	P3	19/08.	20.411	15.162
98 	P3_19/08.	P3	19/08.	10.668	7.324
99 	P3_19/08.	P3	19/08.	17.884	13.361
